Blog	four	looking	second	kids	k	music	until	example	want	feature	place	series	wasn	service	needed	project	tech	came	saying	result	best	men	country	asked	much	life	things	had	easy	possible	right	old	dollars	o	support	happy	choice	team	along	love	fake	working	following	such	years	didn	internet	million	quite	open	city	future	san	say	take	ways	link	going	hour	jobs	many	wants	technology	being	rest	around	dark	world	power	favorite	her	site	am	congress	tv	th	small	past	hours	experience	via	company	learn	states	its	always	found	really	research	major	self	also	play	plan	cover	set	see	movie	available	let	whole	community	person	amp	couple	d	continue	tools	next	line	us	customers	ago	having	results	try	video	great	makes	high	move	doing	could	start	system	face	fact	should	means	stuff	email	android	less	web	government	five	become	does	three	places	problem	worked	told	thursday	work	law	office	then	them	network	another	john	away	com	information	hand	photo	thanks	night	security	post	months	way	war	true	update	together	cost	change	usually	market	live	car	write	product	use	still	half	january	space	shows	cars	care	national	online	price	america	only	between	article	comes	these	media	thinking	real	read	early	using	business	aren	lot	trying	building	month	very	learned	family	put	takes	history	help	soon	actually	event	since	ask	off	clear	latest	justice	hope	pretty	during	won	probably	both	else	look	while	smart	ready	used	march	game	run	within	similar	doesn	e	go	facebook	michael	started	meet	control	links	including	him	front	special	keep	need	able	talk	based	she	written	key	well	page	twitter	home	washington	he	piece	star	friends	lives	whose	companies	likely	even	tips	ever	never	call	tell	give	answer	president	before	better	weeks	went	side	content	isn	user	features	matter	seen	seem	don	m	explain	stop	bad	decided	said	against	appeared	website	study	make	left	human	yes	yet	deal	dead	popular	super	down	digital	weekend	happening	daily	did	making	may	man	maybe	nbsp	group	interesting	policy	morning	living	where	thing	think	fast	little	anyone	were	especially	shot	show	data	black	nearly	enough	reading	across	according	among	those	different	pay	same	money	audience	youtube	again	important	u	children	public	published	two	coming	response	playing	through	late	someone	house	hard	idea	done	least	believe	b	built	build	businesses	find	please	mean	point	simple	shutdown	create	understand	fun	itself	yesterday	cut	big	bit	google	often	forward	giving	others	account	act	ll	day	red	text	taking	almost	helped	center	thought	brand	minutes	under	every	school	street	york	would	phone	must	me	times	end	writing	each	got	free	wanted	days	already	top	too	took	though	chris	watch	amazon	report	full	however	news	games	search	several	social	donald	everything	head	check	cool	posts	says	goes	today	local	trump	term	name	turn	given	white	r	pro	any	ideas	sure	multiple	state	come	case	good	trip	week	without	blog	everyone	far	list	ten	design	version	members	known	rather	short	might	number	health	friday	feel	story	store	kind	nothing	part	his	wrote	art	recently	attention	c	questions	question	long	called	users	once	app	few	women	something	united	instead	looks	cohen	which	who	why	fear	thousands	words	view	job	perhaps	other	know	because	lead	getting	own	made	whether	percent	book
Wonkette	1	4	12	25	0	1	7	4	28	0	6	3	17	4	3	15	3	12	20	3	4	6	9	10	17	12	28	75	1	5	52	12	4	3	17	2	9	8	2	8	9	14	2	12	11	29	6	16	8	9	1	1	2	31	25	2	1	46	3	7	24	12	2	36	7	11	3	12	5	3	65	8	5	36	7	0	4	2	5	2	1	5	2	14	18	9	10	31	2	1	6	65	3	13	5	8	25	0	2	24	23	3	15	6	7	27	3	0	14	7	62	0	4	13	0	9	10	9	9	13	4	12	36	13	2	8	16	27	1	8	5	0	7	1	46	4	3	17	10	2	4	5	36	3	22	15	15	44	41	1	22	6	5	5	2	6	1	10	13	24	21	13	24	11	4	2	5	3	3	5	4	10	1	6	0	6	28	8	4	2	2	0	15	19	4	2	23	57	16	10	6	15	18	3	16	13	2	4	13	4	29	14	3	4	33	3	20	9	2	5	11	2	28	2	21	4	25	7	2	11	5	8	34	6	17	10	7	20	28	3	4	9	11	1	13	6	0	22	5	38	5	45	9	6	4	1	7	74	4	7	23	18	4	13	7	105	3	2	28	3	40	8	15	279	9	2	3	5	2	11	4	45	2	15	44	10	15	19	7	75	24	10	3	20	7	7	20	0	0	11	6	3	57	13	3	15	15	8	69	20	1	9	0	32	6	7	15	12	23	3	2	2	26	4	2	3	9	44	14	27	19	36	0	14	2	11	15	4	34	32	22	2	21	12	55	6	2	17	3	9	4	9	6	4	18	3	52	7	23	16	43	5	3	13	7	12	17	16	1	21	8	8	2	14	10	7	37	17	12	13	17	17	17	1	7	1	8	14	12	13	2	28	3	2	7	3	15	11	25	12	1	33	6	1	3	8	8	17	22	2	1	9	8	2	7	4	3	2	15	9	8	2	11	100	2	3	12	17	16	4	7	32	16	14	13	17	7	14	10	14	4	2	0	20	9	5	46	1	2	7	6	51	8	5	9	4	0	28	4	14	2	326	2	9	3	3	24	4	10	53	2	16	7	24	15	18	35	14	11	11	1	10	7	5	3	0	1	9	7	2	6	25	8	9	1	4	31	0	13	15	16	209	2	0	2	9	10	3	4	19	12	0	43	0	9	18	9	11	7	9	77	64	123	41	3	5	10	1	7	8	35	67	119	2	21	21	18	7	5	4
WIL WHEATON dot NET	0	1	0	1	0	1	1	1	5	0	3	0	1	0	0	0	0	0	3	0	1	0	3	2	9	5	8	3	0	1	5	1	0	0	3	4	4	2	1	6	0	1	0	1	3	4	0	0	0	7	0	3	0	1	8	2	1	7	0	0	0	1	0	4	1	3	2	1	5	0	14	0	10	0	3	1	2	3	2	2	0	0	0	0	7	0	1	6	0	0	0	5	0	0	0	1	9	0	0	4	0	0	10	0	1	8	1	0	1	0	5	0	1	7	0	0	0	2	3	0	2	0	3	0	0	1	1	7	1	3	2	0	0	0	0	1	3	1	0	0	1	0	3	0	4	1	0	2	12	0	1	1	7	0	0	1	0	0	3	0	4	0	7	1	0	0	1	0	0	0	0	3	0	1	0	4	1	0	0	0	1	0	0	1	1	0	16	2	5	0	2	4	1	3	1	0	0	0	1	1	0	2	0	0	3	0	2	4	0	8	3	0	0	0	4	1	1	4	0	0	4	0	1	1	2	0	2	7	1	0	0	3	1	3	0	0	0	14	0	10	0	0	1	0	0	0	2	4	0	1	3	1	1	4	1	3	1	0	2	0	0	1	1	14	0	2	1	10	1	0	1	6	0	2	0	0	5	2	0	1	3	3	1	1	1	0	5	0	1	6	0	2	12	22	0	3	5	5	1	2	0	0	0	8	2	5	0	1	0	0	0	2	2	0	0	0	0	3	2	3	5	1	0	2	0	0	1	2	7	4	1	0	4	5	6	0	0	0	0	1	0	5	1	0	0	1	1	4	0	2	1	0	0	2	0	0	15	1	2	2	1	0	1	4	0	6	5	1	1	3	4	7	0	1	0	0	3	0	1	2	1	0	0	0	3	3	1	0	1	3	0	1	0	2	2	1	0	3	8	0	0	3	0	1	1	1	0	1	6	5	0	1	0	1	0	0	25	2	0	5	0	1	1	1	3	0	0	3	4	1	0	0	0	0	0	0	2	0	0	0	0	2	0	2	2	0	0	1	0	2	0	7	0	0	1	0	2	0	0	6	1	3	0	1	2	1	5	0	3	2	3	0	0	0	2	1	0	0	0	3	1	0	0	2	0	11	1	0	1	1	2	12	2	0	1	2	0	0	0	3	0	0	0	0	6	1	8	0	1	0	0	6	38	1	4	0	5	0	0	0	7	11	15	1	0	9	6	0	0	0
Latest from Crooks and Liars	0	0	1	0	0	1	2	0	1	0	2	0	0	0	1	1	0	0	2	0	0	0	2	1	1	2	0	5	0	0	3	1	0	0	1	0	0	2	1	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	5	0	1	0	1	2	2	6	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	4	3	0	0	0	3	0	0	0	0	2	0	0	1	1	0	5	3	0	1	0	0	0	1	1	0	1	1	0	0	2	1	2	1	0	0	1	1	0	0	0	2	0	0	0	0	2	2	3	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	2	0	1	1	1	0	0	0	5	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	2	1	0	1	1	1	0	1	6	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	3	0	0	0	2	0	0	0	0	1	0	0	4	1	0	0	0	2	0	2	13	0	0	0	0	2	0	0	0	0	1	2	0	1	0	0	4	1	1	2	1	0	0	1	0	0	0	0	0	2	2	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	2	0	0	1	1	0	3	1	0	0	0	0	0	0	0	0	4	0	0	1	3	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	4	1	0	0	5	1	0	0	1	1	0	4	1	0	1	1	1	0	0	0	0	0	0	1	2	0	2	0	1	1	0	0	0	3	2	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	2	3	0	0	0	2	0	0	3	1	0	0	0	1	0	1	1	0	0	0	2	1	1	1	0	1	0	0	4	0	0	0	0	6	1	0	0	0	0	1	0	0	0	19	0	0	0	0	4	1	0	1	0	0	0	1	1	0	1	6	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	1	0	10	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	3	0	0	0	1	6	0	0	0	0	0	0	0	3	2	5	0	0	1	2	1	0	1
Creating Passionate Users	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4	0	0	0	0	2	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	3	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	5	0	5	1	0	1	0	0	0	0	1	2	1	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
Kotaku	0	0	0	2	0	0	0	0	2	0	3	1	1	0	0	0	0	0	0	0	4	0	1	0	0	0	2	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	2	0	0	2	1	3	0	1	0	0	1	0	0	0	0	5	0	0	0	0	1	0	2	3	0	0	0	0	0	0	0	0	2	1	3	0	1	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	1	3	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	1	2	1	0	0	23	0	1	0	0	1	2	0	0	1	0	0	0	0	2	0	0	0	1	2	2	1	0	1	0	0	0	0	0	1	0	0	1	2	0	0	2	0	12	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	2	0	5	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	3	0	2	4	0	1	1	0	0	1	0	0	0	2	0	0	0	0	2	1	0	1	4	0	3	0	0	0	1	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	2	0	0	1	2	0	1	0	0	0	0	0	2	0	3	0	0	0	1	0	0	0	0	0	1	0	0	2	1	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	1	0	0	1	3	0	0	1	0	1	1	0	0	0
The Write News	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	15	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Derek Powazek	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	5	1	3	2	1	4	2	0	0	0	4	0	0	1	1	0	0	1	0	5	1	1	0	0	1	0	0	2	3	1	1	2	4	0	0	1	0	0	0	1	1	0	3	0	0	9	2	3	0	0	0	2	0	0	0	0	1	0	0	1	4	1	2	0	0	1	2	0	0	0	0	3	0	1	1	0	3	0	0	4	2	4	0	1	0	4	0	2	0	0	1	0	5	0	1	0	1	1	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	4	1	0	1	0	0	3	0	0	7	2	1	3	0	1	1	0	1	0	0	2	0	3	2	0	0	1	1	1	2	1	0	0	2	1	3	1	0	4	0	0	0	0	0	0	0	2	0	0	1	4	0	1	2	2	1	0	0	1	1	1	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	2	0	0	0	1	2	1	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	2	0	2	0	1	1	3	0	7	0	1	2	1	1	0	0	5	0	0	2	1	0	0	0	1	0	1	3	1	0	0	1	0	1	0	2	3	0	1	0	0	1	0	1	0	4	12	0	0	3	1	3	1	0	0	0	1	1	0	1	1	1	2	0	0	2	1	0	0	0	4	0	0	1	1	0	0	0	0	2	0	0	4	4	1	7	0	2	2	1	3	0	1	0	5	4	0	0	0	1	0	0	3	3	1	1	2	0	0	0	0	3	9	1	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	2	0	0	1	0	0	2	1	0	0	0	0	4	2	0	0	1	1	0	0	1	0	1	1	3	0	1	0	0	0	1	15	1	0	2	1	1	0	0	4	1	2	2	3	0	0	1	0	0	1	0	1	0	0	0	0	0	2	0	0	2	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	1	0	3	0	1	1	0	0	0	1	0	2	0	0	1	1	1	0	2	5	3	0	1	0	2	3	1	0	0	0	0	1	0	1	0	0	2	0	5	0	8	0	0	0	0	2	1	1	1	0	0	0	1	0	3	6	3	0	2	2	2	0	0	6
Jeremy Zawodny's blog	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	10	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	1	4	0	0	0	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
ABC News: Top Stories	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Captain's Quarters	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	2	4	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	6	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	4	0	0	1	0	6	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ScienceBlogs - Where the world discusses science	1	5	1	0	0	0	1	4	3	0	3	1	2	1	1	3	0	0	0	5	4	0	0	0	8	2	3	5	1	1	0	4	0	0	0	0	4	9	2	0	0	1	1	8	7	6	0	0	2	2	3	1	0	0	3	2	3	1	2	3	11	0	0	3	2	5	0	2	0	1	2	0	2	0	0	0	3	1	0	0	2	1	0	0	4	3	4	5	7	1	1	11	0	0	0	1	8	1	5	6	0	1	0	0	1	1	1	0	2	1	4	0	1	0	4	0	2	0	0	1	3	1	7	2	6	4	2	3	0	0	0	0	2	0	1	3	3	2	6	0	3	0	1	0	2	0	0	4	7	1	7	0	1	1	1	0	3	0	0	0	1	1	6	0	5	0	0	1	5	3	0	1	0	1	1	7	4	0	0	0	1	0	0	2	2	0	0	6	11	3	0	9	0	0	7	0	1	1	1	1	3	1	0	1	12	0	0	0	2	2	4	0	2	0	2	1	3	5	1	0	0	2	1	0	3	5	0	6	2	0	0	22	0	0	1	0	1	2	1	3	0	0	1	0	1	0	4	0	0	0	2	3	0	0	3	1	0	0	10	0	1	5	1	5	0	0	0	0	2	2	0	18	0	2	2	2	2	2	5	1	8	0	2	0	0	0	5	1	0	2	2	2	5	4	2	0	5	0	3	1	0	2	24	8	1	20	6	7	0	1	0	0	0	0	0	0	1	7	1	4	0	1	0	4	0	1	1	0	11	5	4	1	2	2	12	0	0	3	28	0	3	3	1	3	2	1	5	5	1	11	1	1	1	0	5	1	2	9	3	5	3	7	0	3	2	1	0	2	1	2	6	0	13	0	2	0	2	0	0	3	1	0	0	1	0	3	0	0	2	1	0	4	0	0	2	1	0	1	2	0	0	0	2	0	0	0	0	2	2	5	0	0	2	12	0	2	4	2	3	0	3	1	4	1	3	1	0	2	0	2	0	0	0	1	2	2	0	0	0	1	3	0	1	0	0	0	0	7	1	0	4	0	0	4	0	2	0	1	0	15	0	1	3	2	2	5	7	0	1	2	0	0	3	1	0	0	0	0	1	3	1	4	3	17	0	0	1	0	2	3	6	0	0	1	0	2	2	2	3	4	4	5	4	1	7	0	0	0	2	1	0	21	10	8	1	1	2	1	0	1	10	9	9	1	0	0	1	7	0	0
